Order_ID,Date,Product,Category,Region,Quantity,Price
1001,2025-02-04,Router,Electronics,North,5,4969
1002,2025-03-15,Printer,Electronics,West,1,15895
1003,2025-03-23,Speaker,Accessories,East,7,4080
1004,2025-07-09,Pendrive,Accessories,East,7,1550
1005,2025-07-07,Router,Electronics,West,7,2190
1006,2025-03-09,Laptop,Electronics,South,8,55486
1007,2025-03-01,Mouse,Accessories,West,1,515
1008,2025-07-16,Power Bank,Accessories,East,2,3113
1009,2025-07-01,Keyboard,Accessories,East,5,2132
1010,2025-02-25,Router,Electronics,West,5,6862
1011,2025-06-18,Speaker,Accessories,East,5,3652
1012,2025-08-21,Headphones,Accessories,West,7,2889
1013,2025-05-06,SSD,Electronics,South,6,5399
1014,2025-12-08,Speaker,Accessories,North,4,2849
1015,2025-01-01,USB Cable,Accessories,North,3,494
1016,2025-06-27,Power Bank,Accessories,South,4,3467
1017,2025-04-13,Headphones,Accessories,East,3,3672
1018,2025-08-09,Laptop,Electronics,South,8,63564
1019,2025-09-22,Webcam,Electronics,East,8,3818
1020,2025-03-28,Monitor,Electronics,East,2,14530
1021,2025-11-01,Laptop,Electronics,East,4,68693
1022,2025-06-16,Smart Watch,Electronics,North,4,8644
1023,2025-05-26,Speaker,Accessories,West,4,3965
1024,2025-06-21,Speaker,Accessories,East,3,4132
1025,2025-11-19,Pendrive,Accessories,East,1,1129
1026,2025-04-20,USB Cable,Accessories,North,4,340
1027,2025-09-30,Keyboard,Accessories,East,7,1901
1028,2025-06-25,USB Cable,Accessories,North,8,200
1029,2025-06-18,Smart Watch,Electronics,East,2,11233
1030,2025-11-23,Speaker,Accessories,South,4,4397
1031,2025-03-23,Microphone,Electronics,South,7,7023
1032,2025-02-18,Microphone,Electronics,North,6,5349
1033,2025-10-30,Router,Electronics,North,3,6294
1034,2025-04-13,Pendrive,Accessories,North,4,1721
1035,2025-06-25,Pendrive,Accessories,South,8,606
1036,2025-11-17,Printer,Electronics,South,3,14833
1037,2025-09-12,Router,Electronics,South,5,2229
1038,2025-11-30,Microphone,Electronics,West,7,2605
1039,2025-10-24,Mouse,Accessories,East,7,758
1040,2025-09-22,Pendrive,Accessories,South,3,716
1041,2025-02-07,Headphones,Accessories,North,3,1978
1042,2025-07-20,Webcam,Electronics,North,6,5018
1043,2025-07-16,Power Bank,Accessories,West,3,1076
1044,2025-12-03,Printer,Electronics,West,5,12261
1045,2025-01-01,Smart Watch,Electronics,North,1,10539
1046,2025-09-09,Monitor,Electronics,South,7,17063
1047,2025-06-29,Speaker,Accessories,West,7,2034
1048,2025-11-23,SSD,Electronics,South,4,7145
1049,2025-01-29,Webcam,Electronics,South,6,2381
1050,2025-08-17,Speaker,Accessories,North,4,2782
1051,2025-02-21,Printer,Electronics,North,6,15433
1052,2025-08-03,Webcam,Electronics,West,2,3990
1053,2025-01-06,Pendrive,Accessories,North,3,1543
1054,2025-01-29,Keyboard,Accessories,West,3,1616
1055,2025-05-24,Microphone,Electronics,South,3,2093
1056,2025-02-18,Mouse,Accessories,South,5,434
1057,2025-02-19,Laptop,Electronics,North,7,59157
1058,2025-04-08,SSD,Electronics,North,2,7024
1059,2025-07-12,Headphones,Accessories,West,3,4566
1060,2025-09-02,Power Bank,Accessories,South,4,1624
1061,2025-11-02,Microphone,Electronics,South,2,3929
1062,2025-10-27,Headphones,Accessories,South,6,3338
1063,2025-01-26,Speaker,Accessories,North,6,3740
1064,2025-10-24,Printer,Electronics,West,3,17366
